Metric,Value
Accuracy,0.7584972857093462
Recall,0.8161451357603798
ROC AUC,0.8589933286559954
Log Loss,1.382090913639766
Jaccard Coefficient,0.004343310051947362
Matthews Correlation Coefficient (MCC),0.04814563772693702
Balanced Accuracy,0.7872839561340428
